frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
150,7.142862,620.0,245.0,1,6.3803,-15.5126,1232.6908,179.2956,1,680.34,449.95,499.74,357.19,1,15,detect,detect
151,7.190481,613.0,270.0,1,5.587,-8.02,158.2252,179.6829,1,681.19,457.79,500.15,357.39,1,15,detect,detect
152,7.238101,607.0,287.0,1,5.1772,-4.3602,77.3351,0.3456,0,681.68,472.14,499.8,356.97,1,15,detect,detect
153,7.285720,605.0,300.0,1,4.9647,-2.0795,48.1016,1.066,0,682.26,486.41,499.76,359.38,1,15,detect,detect
154,7.333339,601.0,317.0,1,4.7126,0.4033,52.4077,0.4746,0,681.43,514.16,499.98,360.35,1,15,detect,detect
155,7.380958,-1,-1,0,-1,-1,-1,-1,0,682.7,528.92,499.98,360.3,1,15,detect,flow
156,7.428577,600.0,332.0,1,4.5618,2.2329,19.2755,1.0867,0,682.32,528.99,501.58,360.89,1,15,flow,detect
157,7.476196,598.0,340.0,1,4.471,3.0976,18.2588,1.28,0,682.32,528.99,501.4,360.82,1,15,flow,flow
158,7.523815,596.0,347.0,1,4.3941,3.7999,14.8375,0.259,0,682.12,528.93,501.54,360.76,1,15,flow,flow
159,7.571434,596.0,353.0,1,4.3536,4.3656,11.9087,2.1501,0,681.46,528.79,501.32,360.62,1,15,flow,flow
160,7.619053,596.0,349.0,1,4.3803,3.9921,7.8639,180.0,0,698.45,532.49,501.32,360.59,1,15,detect,flow
161,7.666672,-1,-1,0,-1,-1,-1,-1,0,696.51,523.36,501.42,360.57,1,15,detect,flow
162,7.714291,-1,-1,0,-1,-1,-1,-1,0,687.27,510.26,501.25,360.55,1,15,detect,flow
163,7.761910,-1,-1,0,-1,-1,-1,-1,0,677.72,500.01,501.35,360.56,1,15,detect,flow
164,7.809530,-1,-1,0,-1,-1,-1,-1,0,668.97,495.81,502.14,360.42,1,15,detect,flow
165,7.857149,-1,-1,0,-1,-1,-1,-1,0,665.76,492.62,502.44,360.55,1,15,detect,flow
166,7.904768,-1,-1,0,-1,-1,-1,-1,0,664.0,489.3,502.36,360.56,1,15,detect,flow
167,7.952387,-1,-1,0,-1,-1,-1,-1,0,661.9,483.66,-1,-1,1,-1,detect,missing
168,8.000006,-1,-1,0,-1,-1,-1,-1,0,659.45,473.66,549.1,359.95,1,18,detect,detect
169,8.047625,-1,-1,0,-1,-1,-1,-1,0,656.41,467.06,551.25,360.11,1,18,detect,detect
170,8.095244,-1,-1,0,-1,-1,-1,-1,0,650.25,453.4,551.53,360.33,1,18,detect,detect
171,8.142863,-1,-1,0,-1,-1,-1,-1,0,646.14,448.97,552.15,360.41,1,18,detect,detect
172,8.190482,-1,-1,0,-1,-1,-1,-1,0,643.84,447.73,552.74,360.38,1,18,detect,detect
173,8.238101,-1,-1,0,-1,-1,-1,-1,0,642.49,447.22,554.15,360.55,1,18,detect,detect
174,8.285720,-1,-1,0,-1,-1,-1,-1,0,641.49,446.67,556.04,360.67,1,18,detect,detect
175,8.333339,-1,-1,0,-1,-1,-1,-1,0,640.51,444.78,557.76,360.03,1,18,detect,detect
176,8.380959,-1,-1,0,-1,-1,-1,-1,0,640.12,442.84,559.04,359.76,1,18,detect,detect
177,8.428578,-1,-1,0,-1,-1,-1,-1,0,639.59,441.72,559.92,359.74,1,18,detect,detect
178,8.476197,-1,-1,0,-1,-1,-1,-1,0,639.72,438.41,560.83,360.01,1,18,detect,detect
