frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
143,6.809529,-1,-1,0,-1,-1,-1,-1,0,646.15,511.53,507.92,362.45,1,57,detect,detect
144,6.857148,-1,-1,0,-1,-1,-1,-1,0,657.22,495.41,504.34,360.77,1,57,detect,detect
145,6.904767,645.0,9.0,1,-0.3834,56.3092,76.359,0.9143,0,663.14,477.9,501.53,360.67,1,57,detect,detect
146,6.952386,645.0,34.0,1,-1.1746,63.9968,162.2928,0.0916,1,668.71,463.43,500.47,360.98,1,57,detect,detect
147,7.000005,648.0,58.0,1,-2.4924,75.8392,250.2242,0.4736,1,676.68,455.29,500.0,361.26,1,57,detect,detect
148,7.047624,652.0,82.0,1,-4.9661,97.6467,460.8953,0.1217,1,679.22,450.75,500.01,360.57,1,57,detect,detect
149,7.095243,610.0,207.0,1,7.925,-37.801,2857.2534,178.9652,1,680.29,448.39,499.63,358.76,1,57,detect,detect
150,7.142862,620.0,245.0,1,6.39,-15.6342,466.6166,178.5244,1,680.49,450.27,499.76,357.27,1,57,detect,detect
151,7.190481,612.0,270.0,1,5.5682,-8.0664,159.8575,2.2365,1,681.27,458.01,500.18,357.55,1,57,detect,detect
152,7.238101,607.0,286.0,1,5.1912,-4.5743,73.7607,0.0354,0,681.92,471.99,499.78,357.1,1,57,detect,detect
153,7.285720,605.0,299.0,1,4.9749,-2.2514,48.9929,0.8421,0,682.44,486.4,499.69,359.52,1,57,detect,detect
154,7.333339,600.0,316.0,1,4.7039,0.2713,53.2816,0.8105,0,681.55,514.45,499.97,360.43,1,57,detect,detect
155,7.380958,599.0,326.0,1,4.5953,1.541,26.7598,1.2417,0,682.72,529.03,499.96,360.39,1,57,detect,flow
156,7.428577,600.0,331.0,1,4.5662,2.1262,12.3047,2.0368,0,682.4,529.12,501.62,360.93,1,57,flow,detect
157,7.476196,597.0,340.0,1,4.4534,3.1062,20.7157,3.7088,0,682.4,529.12,501.37,360.84,1,57,flow,flow
158,7.523815,596.0,347.0,1,4.3897,3.8098,14.8357,1.3819,0,682.24,529.05,501.47,360.8,1,57,flow,flow
159,7.571434,596.0,352.0,1,4.3557,4.284,9.9846,1.0768,0,681.55,528.88,501.28,360.66,1,57,flow,flow
160,7.619053,596.0,348.0,1,4.3827,3.9064,7.9494,180.0,0,698.46,532.51,501.29,360.64,1,57,detect,flow
161,7.666672,-1,-1,0,-1,-1,-1,-1,0,696.47,523.24,501.44,360.6,1,57,detect,flow
162,7.714291,-1,-1,0,-1,-1,-1,-1,0,687.21,509.72,501.29,360.57,1,57,detect,flow
163,7.761910,-1,-1,0,-1,-1,-1,-1,0,677.66,499.76,501.4,360.59,1,57,detect,flow
164,7.809530,-1,-1,0,-1,-1,-1,-1,0,668.93,495.7,502.7,360.41,1,57,detect,flow
165,7.857149,-1,-1,0,-1,-1,-1,-1,0,665.82,492.51,503.27,360.54,1,57,detect,flow
166,7.904768,-1,-1,0,-1,-1,-1,-1,0,664.04,489.25,503.26,360.56,1,57,detect,flow
167,7.952387,-1,-1,0,-1,-1,-1,-1,0,661.97,483.74,-1,-1,1,-1,detect,missing
168,8.000006,-1,-1,0,-1,-1,-1,-1,0,659.5,473.64,548.26,359.92,1,64,detect,detect
169,8.047625,-1,-1,0,-1,-1,-1,-1,0,656.48,466.97,548.91,360.21,1,64,detect,detect
170,8.095244,-1,-1,0,-1,-1,-1,-1,0,650.26,453.49,550.68,360.41,1,64,detect,detect
171,8.142863,-1,-1,0,-1,-1,-1,-1,0,646.13,449.07,551.98,360.48,1,64,detect,detect
172,8.190482,-1,-1,0,-1,-1,-1,-1,0,643.72,447.86,552.81,360.44,1,64,detect,detect
173,8.238101,-1,-1,0,-1,-1,-1,-1,0,642.41,447.33,554.21,360.61,1,64,detect,detect
174,8.285720,-1,-1,0,-1,-1,-1,-1,0,641.5,446.72,556.03,360.65,1,64,detect,detect
175,8.333339,-1,-1,0,-1,-1,-1,-1,0,640.51,444.76,557.8,359.99,1,64,detect,detect
176,8.380959,-1,-1,0,-1,-1,-1,-1,0,640.09,442.64,559.07,359.71,1,64,detect,detect
177,8.428578,-1,-1,0,-1,-1,-1,-1,0,639.6,438.49,559.93,359.76,1,64,detect,detect
178,8.476197,-1,-1,0,-1,-1,-1,-1,0,639.73,437.07,560.86,360.01,1,64,detect,detect
179,8.523816,502.0,24.0,1,2.508,60.5208,62.608,177.7944,0,-1,-1,-1,-1,-1,-1,missing,missing
180,8.571435,499.0,26.0,1,2.5714,61.1668,13.631,7.4951,0,-1,-1,521.8,348.22,-1,65,missing,detect
181,8.619054,495.0,30.0,1,2.6559,62.5299,28.68,2.0488,0,-1,-1,-1,-1,-1,-1,missing,missing
182,8.666673,491.0,35.0,1,2.745,64.3812,38.9214,0.7933,0,-1,-1,521.66,348.24,-1,65,missing,flow
183,8.714292,488.0,40.0,1,2.8162,66.4193,42.8276,0.7579,0,-1,-1,521.53,348.24,-1,65,missing,flow
